Title,Published_date,Likes,Views
Lamborghini Vs Shredder,2023-09-02,3478712,60771412
"Make This Kick, Win Super Bowl Tickets",2023-08-25,1122307,19153956
Metal Pipe Vs. School Bus,2023-08-22,5473365,127143244
"Every Country On Earth Fights For $250,000!",2023-08-19,4997851,112630806
Can You Beat A Girl In Arm Wrestling?,2023-08-17,5950216,87973844
"$1 vs $250,000 Vacation!",2023-08-12,4844767,137489514
I Ate The World’s Most Poisonous Fish,2023-08-08,9394769,161529355
7 Days Stranded At Sea,2023-08-05,5608450,143962296
I Traded My Car At a Red Light,2023-07-15,10449811,185604434
Train Vs Giant Pit,2023-07-08,5551576,146615161
I Buried Treasure in the Bermuda Triangle,2023-07-06,9408928,126147902
"$1 vs $1,000,000,000 Yacht!",2023-06-10,5830737,218728158
Do Pawnshops Scam You?,2023-06-03,7430852,136843378
"Ages 1 - 100 Fight For $500,000",2023-05-27,5362881,218854590
"1,000 Deaf People Hear For The First Time",2023-05-06,4881815,113128685
Would You Pet a Cheetah in Africa?,2023-05-01,13403033,277389545
Tipping A Waitress A Car,2023-04-22,11710935,190842614
Would you go on a Blind Date in Italy?,2023-04-15,12417623,226425739
"$1 vs $500,000 Plane Ticket!",2023-04-01,6298065,243447580
I Sent a Subscriber to Disneyland,2023-03-30,17167827,292606504
I Paid A Real Assassin To Try To Kill Me,2023-03-18,5280123,196364907
Do Men Lie About Their Height?,2023-02-14,11660909,216307220
"1,000 Blind People See For The First Time",2023-01-28,9930701,157694878
I Survived 50 Hours In Antarctica,2022-12-24,4705801,143516275
Hydraulic Press Vs Lamborghini,2022-12-10,5392896,195920792
Would You Fly To Paris For A Baguette?,2022-12-08,39321592,909067505
"100 Kids Vs 100 Adults For $500,000",2022-12-03,3978690,190210080
Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19,15775535,294783767
"Last To Take Hand Off Jet, Keeps It!",2022-11-12,3892405,135960264
Giving iPhones Instead Of Candy on Halloween,2022-11-02,28493876,852296838
"$1 vs $1,000,000 Hotel Room!",2022-10-22,6496627,289500533
"The Rock Vs MrBeast For $100,000",2022-10-21,23826129,379566456
"Survive 100 Days In Circle, Win $500,000",2022-09-24,5121583,241093126
I Hunted 100 People!,2022-09-03,3236200,122839128
I Survived A Plane Crash,2022-08-20,3621647,144617704
"I Gave My 100,000,000th Subscriber An Island",2022-08-04,6091625,173064365
"100 Boys Vs 100 Girls For $500,000",2022-07-23,4229831,165751982
